
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 011
--------------------------------------------
1 | Ball Receipt | 11:02 | Kobbie Mainoo | Incomplete | Right Defensive Midfield | Right Defensive Midfield | Marc Cucurella Saseta | N/A  
2 | Ball Recovery | 11:02 | Marc Cucurella Saseta | N/A | Left Back | Left Back | Kobbie Mainoo | N/A  
3 | Carry | 11:02 | Marc Cucurella Saseta | N/A | Left Back | Left Back | N/A | N/A  
4 | Pass | 11:03 | Marc Cucurella Saseta | N/A | Left Back | Left Back | Fabián Ruiz Peña | N/A  
5 | Ball Receipt | 11:05 | Fabián Ruiz Peña | N/A | Left Defensive Midfield | Left Defensive Midfield | Marc Cucurella Saseta | N/A  
6 | Carry | 11:05 | Fabián Ruiz Peña | N/A | Left Defensive Midfield | Left Defensive Midfield | N/A | N/A  
7 | Pass | 11:05 | Fabián Ruiz Peña | N/A | Left Defensive Midfield | Left Defensive Midfield | Nicholas Williams Arthuer | N/A  
8 | Carry | 11:08 | Nicholas Williams Arthuer | N/A | Left Wing | Left Wing | N/A | N/A  
9 | Injury Stoppage | 11:39 | Kyle Walker | N/A | Right Back | Right Back | N/A | N/A  
10 | Shot Faced | 11:13 | Jordan Pickford | N/A | Goalkeeper | Goalkeeper | Nicholas Williams Arthuer | N/A  
11 | Block | 11:13 | John Stones | N/A | Right Center Back | Right Center Back | Nicholas Williams Arthuer | N/A  
12 | Shot | 11:13 | Nicholas Williams Arthuer | **Blocked** | Left Wing | Left Wing | N/A | N/A  
13 | Pressure | 11:12 | John Stones | N/A | Right Center Back | Right Center Back | Nicholas Williams Arthuer | N/A  
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 012
--------------------------------------------
1 | pressure | 00:12 | Declan Rice | applies pressure | [8.3, 43.2] | Left Defensive Midfield | Robin Aime Robert Le Normand | none  
2 | ball receipt | 00:12 | Robin Aime Robert Le Normand | receives ball | [112.9, 36.2] | Right Center Back | none | none  
3 | pass | 00:12 | Rodrigo Hernández Cascante | passes ball | [114.2, 48.3] | Right Defensive Midfield | Robin Aime Robert Le Normand | none  
4 | ball receipt | 00:12 | Rodrigo Hernández Cascante | receives ball | [114.2, 48.3] | Right Defensive Midfield | none | none  
5 | duel | 00:12 | Kobbie Mainoo | loses aerial duel | [5.9, 31.8] | Right Defensive Midfield | none | none  
6 | shot | 00:12 | Robin Aime Robert Le Normand | shoots to goal | [112.9, 36.2] | Right Center Back | Jordan Pickford | goal missed  
7 | goalkeeper save | 00:12 | Jordan Pickford | saves shot | [119.0, 42.5] | Goalkeeper | Robin Aime Robert Le Normand | none  
8 | play pattern | 00:12 | Nicholas Williams Arthuer | takes corner | [120.0, 0.1] | Left Wing | Rodrigo Hernández Cascante | none  
9 | pass | 00:12 | Nicholas Williams Arthuer | passes ball | [120.0, 0.1] | Left Wing | Rodrigo Hernández Cascante | none  
10 | shot | 00:12 | Robin Aime Robert Le Normand | shoots to goal | [112.9, 36.2] | Right Center Back | Jordan Pickford | goal missed  
11 | goalkeeper save | 00:12 | Jordan Pickford | saves shot | [119.0, 42.5] | Goalkeeper | Robin Aime Robert Le Normand | none  
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 013
--------------------------------------------
1 | pass | 00:13:54 | Phil Foden | Pass to Jude Bellingham | Center Attacking Midfield | Center Attacking Midfield | Jude Bellingham | successful
2 | pass | 00:13:02 | Jordan Pickford | Goal Kick | Goalkeeper | Goalkeeper | Unai Simón Mendibil | incomplete
3 | ball recovery | 00:13:08 | Unai Simón Mendibil | Ball Recovery | Goalkeeper | Goalkeeper | Jordan Pickford | successful
4 | pass | 00:13:14 | Unai Simón Mendibil | Pass to Robin Aime Robert Le Normand | Goalkeeper | Right Center Back | Robin Aime Robert Le Normand | successful
5 | ball receipt | 00:13:15 | Robin Aime Robert Le Normand | Ball Receipt | Right Center Back | Right Center Back | Unai Simón Mendibil | successful
6 | carry | 00:13:15 | Robin Aime Robert Le Normand | Carry | Right Center Back | Right Center Back | - | successful
7 | carry | 00:13:55 | Jude Bellingham | Carry | Left Wing | Left Wing | - | successful
8 | pass | 00:13:19 | Robin Aime Robert Le Normand | Pass to Unai Simón Mendibil | Right Center Back | Goalkeeper | Unai Simón Mendibil | successful
9 | ball receipt | 00:13:21 | Unai Simón Mendibil | Ball Receipt | Goalkeeper | Goalkeeper | Robin Aime Robert Le Normand | successful
10 | carry | 00:13:21 | Unai Simón Mendibil | Carry | Goalkeeper | Goalkeeper | - | successful
11 | pass | 00:13:21 | Unai Simón Mendibil | Pass to Aymeric Laporte | Goalkeeper | Left Center Back | Aymeric Laporte | successful
12 | ball receipt | 00:13:22 | Aymeric Laporte | Ball Receipt | Left Center Back | Left Center Back | Unai Simón Mendibil | successful
13 | carry | 00:13:22 | Aymeric Laporte | Carry | Left Center Back | Left Center Back | - | successful
14 | pass | 00:13:28 | Aymeric Laporte | Pass to Robin Aime Robert Le Normand | Left Center Back | Right Center Back | Robin Aime Robert Le Normand | successful
15 | ball receipt | 00:13:30 | Robin Aime Robert Le Normand | Ball Receipt | Right Center Back | Right Center Back | Aymeric Laporte | successful
16 | carry | 00:13:30 | Robin Aime Robert Le Normand | Carry | Right Center Back | Right Center Back | - | successful
17 | pass | 00:13:34 | Robin Aime Robert Le Normand | Pass to Daniel Carvajal Ramos | Right Center Back | Right Back | Daniel Carvajal Ramos | successful
18 | ball receipt | 00:13:35 | Daniel Carvajal Ramos | Ball Receipt | Right Back | Right Back | Robin Aime Robert Le Normand | successful
19 | carry | 00:13:35 | Daniel Carvajal Ramos | Carry | Right Back | Right Back | - | successful
20 | pass | 00:13:37 | Daniel Carvajal Ramos | Pass to Rodrigo Hernández Cascante | Right Back | Right Defensive Midfield | Rodrigo Hernández Cascante | successful
21 | ball receipt | 00:13:38 | Rodrigo Hernández Cascante | Ball Receipt | Right Defensive Midfield | Right Defensive Midfield | Daniel Carvajal Ramos | successful
22 | carry | 00:13:38 | Rodrigo Hernández Cascante | Carry | Right Defensive Midfield | Right Defensive Midfield | - | successful
23 | pass | 00:13:41 | Rodrigo Hernández Cascante | Pass to Aymeric Laporte | Right Defensive Midfield | Left Center Back | Aymeric Laporte | successful
24 | ball receipt | 00:13:44 | Aymeric Laporte | Ball Receipt | Left Center Back | Left Center Back | Rodrigo Hernández Cascante | successful
25 | carry | 00:13:44 | Aymeric Laporte | Carry | Left Center Back | Left Center Back | - | successful
