
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 041
--------------------------------------------
1 | carry | 41:05 | Nicholas Williams Arthuer | carries the ball | Left Wing | 49.8, 16.1 | Marc Cucurella Saseta | 
2 | pressure | 41:08 | Kyle Walker | applies pressure | Right Back | 56.0, 65.4 | Nicholas Williams Arthuer | 
3 | pass | 41:12 | Nicholas Williams Arthuer | passes the ball | Left Wing | 58.4, 13.9 | Marc Cucurella Saseta | 
4 | ball receipt | 41:13 | Marc Cucurella Saseta | receives the ball | Left Back | 51.3, 15.9 | Nicholas Williams Arthuer | 
5 | carry | 41:13 | Marc Cucurella Saseta | carries the ball | Left Back | 51.3, 15.9 | Fabián Ruiz Peña | 
6 | pass | 41:13 | Marc Cucurella Saseta | passes the ball | Left Back | 51.3, 15.9 | Fabián Ruiz Peña | 
7 | ball receipt | 41:14 | Fabián Ruiz Peña | receives the ball | Left Defensive Midfield | 50.2, 25.5 | Marc Cucurella Saseta | 
8 | carry | 41:14 | Fabián Ruiz Peña | carries the ball | Left Defensive Midfield | 50.2, 25.5 | Rodrigo Hernández Cascante | 
9 | pass | 41:15 | Fabián Ruiz Peña | passes the ball | Left Defensive Midfield | 50.4, 25.3 | Rodrigo Hernández Cascante | 
10 | ball receipt | 41:16 | Rodrigo Hernández Cascante | receives the ball | Right Defensive Midfield | 52.1, 32.9 | Fabián Ruiz Peña | 
11 | carry | 41:16 | Rodrigo Hernández Cascante | carries the ball | Right Defensive Midfield | 52.1, 32.9 | 
12 | carry | 41:24 | Daniel Carvajal Ramos | carries the ball | Right Back | 79.6, 65.6 | 
13 | pass | 41:18 | Rodrigo Hernández Cascante | passes the ball | Right Defensive Midfield | 53.5, 36.9 | Robin Aime Robert Le Normand | 
14 | ball receipt | 41:19 | Robin Aime Robert Le Normand | receives the ball | Right Center Back | 51.3, 57.2 | Rodrigo Hernández Cascante | 
15 | carry | 41:19 | Robin Aime Robert Le Normand | carries the ball | Right Center Back | 51.3, 57.2 | 
16 | pass | 41:20 | Robin Aime Robert Le Normand | passes the ball | Right Center Back | 55.3, 61.6 | Lamine Yamal Nasraoui Ebana | 
17 | ball receipt | 41:21 | Lamine Yamal Nasraoui Ebana | receives the ball | Right Wing | 70.7, 76.4 | Robin Aime Robert Le Normand | 
18 | carry | 41:21 | Lamine Yamal Nasraoui Ebana | carries the ball | Right Wing | 70.7, 76.4 | 
19 | pass | 41:23 | Lamine Yamal Nasraoui Ebana | passes the ball | Right Wing | 72.2, 76.6 | Daniel Carvajal Ramos | 
20 | pressure | 41:23 | Marc Guehi | applies pressure | Left Center Back | 40.5, 14.5 | Daniel Carvajal Ramos | 
21 | ball receipt | 41:24 | Daniel Carvajal Ramos | receives the ball | Right Back | 79.6, 65.6 | Lamine Yamal Nasraoui Ebana | 
22 | pass | 41:24 | Daniel Carvajal Ramos | passes the ball | Right Back | 77.5, 66.7 | Lamine Yamal Nasraoui Ebana | 
23 | ball receipt | 41:25 | Lamine Yamal Nasraoui Ebana | receives the ball | Right Wing | 71.0, 76.6 | Daniel Carvajal Ramos | 
24 | carry | 41:25 | Lamine Yamal Nasraoui Ebana | carries the ball | Right Wing | 71.0, 76.6 | 
25 | pass | 41:25 | Lamine Yamal Nasraoui Ebana | passes the ball | Right Wing | 70.7, 76.6 | Daniel Carvajal Ramos | 
26 | ball receipt | 41:27 | Daniel Carvajal Ramos | receives the ball | Right Back | 96.7, 77.3 | Lamine Yamal Nasraoui Ebana | 
27 | throw-in | 41:58 | Luke Shaw | throws the ball | Left Back | 34.0, 0.1 | Kobbie Mainoo | 
28 | ball receipt | 41:00 | Kobbie Mainoo | receives the ball | Right Defensive Midfield | 85.6, 53.2 | 
29 | pass | 41:00 | Kobbie Mainoo | passes the ball | Right Defensive Midfield | 85.8, 53.0 | Harry Kane | 
30 | ball receipt | 41:01 | Harry Kane | receives the ball | Center Forward | 106.1, 32.2 | Kobbie Mainoo | 
31 | ball recovery | 41:01 | Robin Aime Robert Le Normand | recovers the ball | Right Center Back | 18.6, 44.0 | Kobbie Mainoo | 
32 | carry | 41:01 | Robin Aime Robert Le Normand | carries the ball | Right Center Back | 18.6, 44.0 | 
33 | pass | 41:03 | Robin Aime Robert Le Normand | passes the ball | Right Center Back | 35.2, 40.2 | Nicholas Williams Arthuer | 
34 | ball receipt | 41:05 | Nicholas Williams Arthuer | receives the ball | Left Wing | 49.8, 16.1 | Robin Aime Robert Le Normand | 
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 01, minute: 042
--------------------------------------------
1 | Pressure | 42:21 | Marc Guehi | applies pressure | Left Center Back | Left Center Back | Álvaro Borja Morata Martín | result not specified  
2 | Ball Recovery | 42:24 | Álvaro Borja Morata Martín | recovers ball | Center Forward | Center Forward | none | result not specified  
3 | Dribble | 42:22 | Álvaro Borja Morata Martín | attempts dribble | Center Forward | Center Forward | none | result incomplete  
4 | Duel | 42:22 | Marc Guehi | tackles | Left Center Back | Left Center Back | Álvaro Borja Morata Martín | success in play  
5 | Carry | 42:12 | Aymeric Laporte | carries ball | Left Center Back | Left Center Back | none | result not specified  
6 | Ball Receipt | 42:12 | Aymeric Laporte | receives ball | Left Center Back | Left Center Back | none | result not specified  
7 | Ball Receipt | 42:00 | Kobbie Mainoo | receives ball | Right Defensive Midfield | Right Defensive Midfield | none | result not specified  
8 | Pass | 42:00 | Kobbie Mainoo | passes ball | Right Defensive Midfield | Right Defensive Midfield | Phil Foden | result incomplete  
9 | Ball Receipt | 42:02 | Phil Foden | receives ball | Center Attacking Midfield | Center Attacking Midfield | none | result incomplete  
10 | Ball Recovery | 42:02 | Aymeric Laporte | recovers ball | Left Center Back | Left Center Back | none | result not specified  
11 | Carry | 42:21 | Álvaro Borja Morata Martín | carries ball | Center Forward | Center Forward | none | result not specified  
12 | Carry | 42:02 | Aymeric Laporte | carries ball | Left Center Back | Left Center Back | none | result not specified  
13 | Pass | 42:02 | Aymeric Laporte | passes ball | Left Center Back | Left Center Back | Unai Simón Mendibil | result not specified  
14 | Carry | 42:02 | Unai Simón Mendibil | carries ball | Goalkeeper | Goalkeeper | none | result not specified  
15 | Carry | 42:07 | Unai Simón Mendibil | carries ball | Goalkeeper | Goalkeeper | Robin Aime Robert Le Normand | result not specified  
16 | Pass | 42:07 | Unai Simón Mendibil | passes ball | Goalkeeper | Goalkeeper | Robin Aime Robert Le Normand | result not specified  
17 | Carry | 42:08 | Robin Aime Robert Le Normand | carries ball | Right Center Back | Right Center Back | none | result not specified  
18 | Pass | 42:19 | Aymeric Laporte | passes ball | Left Center Back | Left Center Back | Álvaro Borja Morata Martín | result not specified  
19 | Ball Receipt | 42:21 | Álvaro Borja Morata Martín | receives ball | Center Forward | Center Forward | none | result not specified  
