
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 02, minute: 071
--------------------------------------------
1 | ball receipt | 26:01 | Unai Simón Mendibil | received ball | Goalkeeper location | Goalkeeper | Daniel Olmo Carvajal | result not applicable  
2 | pass | 26:03 | Unai Simón Mendibil | passed ball | Goalkeeper location | Goalkeeper | Daniel Olmo Carvajal | result not applicable  
3 | pressure | 26:04 | Marc Guehi | applied pressure | Left Center Back location | Left Center Back | Daniel Olmo Carvajal | result not applicable  
4 | ball receipt | 26:04 | Daniel Olmo Carvajal | received ball | Center Attacking Midfield location | Center Attacking Midfield | Unai Simón Mendibil | result not applicable  
5 | carry | 26:04 | Daniel Olmo Carvajal | carried ball | Center Attacking Midfield location | Center Attacking Midfield | result not applicable | result not applicable  
6 | pass | 26:04 | Daniel Olmo Carvajal | passed ball | Center Attacking Midfield location | Center Attacking Midfield | Lamine Yamal Nasraoui Ebana | **goal missed**  
7 | ball receipt | 26:05 | Lamine Yamal Nasraoui Ebana | received ball | Right Wing location | Right Wing | Daniel Olmo Carvajal | result not applicable  
8 | pass | 26:33 | John Stones | passed ball | Right Center Back location | Right Center Back | Marc Guehi | result not applicable  
9 | ball receipt | 26:35 | Marc Guehi | received ball | Left Center Back location | Left Center Back | John Stones | result not applicable  
10 | carry | 26:35 | Marc Guehi | carried ball | Left Center Back location | Left Center Back | result not applicable | result not applicable  
11 | pressure | 26:38 | Daniel Olmo Carvajal | applied pressure | Center Attacking Midfield location | Center Attacking Midfield | Marc Guehi | result not applicable  
12 | pass | 26:38 | Marc Guehi | passed ball | Left Center Back location | Left Center Back | Jude Bellingham | result not applicable  
13 | ball receipt | 26:40 | Jude Bellingham | received ball | Right Defensive Midfield location | Right Defensive Midfield | Marc Guehi | result not applicable  
14 | carry | 26:40 | Jude Bellingham | carried ball | Right Defensive Midfield location | Right Defensive Midfield | result not applicable | result not applicable  
15 | pass | 26:43 | Jude Bellingham | passed ball | Right Defensive Midfield location | Right Defensive Midfield | Phil Foden | result not applicable  
16 | ball receipt | 26:44 | Phil Foden | received ball | Left Wing location | Left Wing | Jude Bellingham | result not applicable  
17 | ball recovery | 26:44 | Martín Zubimendi Ibáñez | recovered ball | Right Defensive Midfield location | Right Defensive Midfield | Phil Foden | result not applicable  
18 | carry | 26:44 | Martín Zubimendi Ibáñez | carried ball | Right Defensive Midfield location | Right Defensive Midfield | result not applicable | result not applicable  
19 | pressure | 26:45 | Jude Bellingham | applied pressure | Right Defensive Midfield location | Right Defensive Midfield | Martín Zubimendi Ibáñez | result not applicable  
20 | dribbled past | 26:45 | Jude Bellingham | dribbled past | Right Defensive Midfield location | Right Defensive Midfield | Martín Zubimendi Ibáñez | result not applicable  
21 | dribble | 26:45 | Martín Zubimendi Ibáñez | dribbled | Right Defensive Midfield location | Right Defensive Midfield | Jude Bellingham | result not applicable  
22 | carry | 26:45 | Martín Zubimendi Ibáñez | carried ball | Right Defensive Midfield location | Right Defensive Midfield | result not applicable | result not applicable  
23 | pass | 26:48 | Martín Zubimendi Ibáñez | passed ball | Right Defensive Midfield location | Right Defensive Midfield | Mikel Oyarzabal Ugarte | result not applicable  
24 | ball receipt | 26:49 | Mikel Oyarzabal Ugarte | received ball | Center Forward location | Center Forward | Martín Zubimendi Ibáñez | result not applicable  
25 | pressure | 26:50 | Kyle Walker | applied pressure | Right Back location | Right Back | Mikel Oyarzabal Ugarte | result not applicable  
26 | shot | 26:50 | Mikel Oyarzabal Ugarte | shot on goal | Center Forward location | Center Forward | Jordan Pickford | **goalkeeper saves**  
27 | goalkeeper | 26:51 | Jordan Pickford | saved shot | Goalkeeper location | Goalkeeper | Mikel Oyarzabal Ugarte | **goalkeeper saves**  
28 | pass | 26:53 | Jordan Pickford | passed ball | Goalkeeper location | Goalkeeper | Jude Bellingham | result not applicable  
29 | pressure | 26:55 | Marc Cucurella Saseta | applied pressure | Left Back location | Left Back | Jude Bellingham | result not applicable  
30 | ball receipt | 26:55 | Jude Bellingham | received ball | Right Defensive Midfield location | Right Defensive Midfield | Jordan Pickford | result not applicable  
31 | carry | 26:55 | Jude Bellingham | carried ball | Right Defensive Midfield location | Right Defensive Midfield | result not applicable | result not applicable  
32 | foul committed | 26:55 | Marc Cucurella Saseta | committed foul | Left Back location | Left Back | Jude Bellingham | result not applicable  
33 | foul won | 26:55 | Jude Bellingham | won foul | Right Defensive Midfield location | Right Defensive Midfield | Marc Cucurella Saseta | result not applicable  
34 | carry | 26:55 | Jude Bellingham | carried ball | Right Defensive Midfield location | Right Defensive Midfield | result not applicable | result not applicable  
35 | pass | 26:55 | Jude Bellingham | passed ball | Right Defensive Midfield location | Right Defensive Midfield | Cole Palmer | result not applicable  
36 | ball receipt | 26:57 | Cole Palmer | received ball | Center Attacking Midfield location | Center Attacking Midfield | Jude Bellingham | result not applicable  
37 | carry | 26:57 | Cole Palmer | carried ball | Center Attacking Midfield location | Center Attacking Midfield | result not applicable | result not applicable  
38 | pass | 26:58 | Cole Palmer | passed ball | Center Attacking Midfield location | Center Attacking Midfield | Bukayo Saka | result not applicable  
--------------------------------------------
Table_name: final_match_Spain_England_events_details__minutewise, match_id: 3943043, period: 02, minute: 072
--------------------------------------------
1 | Pressure | 27:06 | Martín Zubimendi Ibáñez | applies pressure | Right Defensive Midfield | Right Defensive Midfield | Bukayo Saka | none  
2 | Ball Receipt | 27:00 | Bukayo Saka | receives ball | Right Wing | Right Wing | none | none  
3 | Carry | 27:00 | Bukayo Saka | carries ball | Right Wing | Right Wing | none | none  
4 | Pressure | 27:05 | Fabián Ruiz Peña | applies pressure | Left Defensive Midfield | Left Defensive Midfield | Bukayo Saka | none  
5 | Pass | 27:06 | Bukayo Saka | passes to Jude Bellingham | Right Wing | Right Wing | Jude Bellingham | none  
6 | Ball Receipt | 27:07 | Jude Bellingham | receives ball | Right Defensive Midfield | Right Defensive Midfield | none | none  
7 | Pass | 27:07 | Jude Bellingham | passes to Cole Palmer | Right Defensive Midfield | Right Defensive Midfield | Cole Palmer | goal assist  
8 | Ball Receipt | 27:08 | Cole Palmer | receives ball | Center Attacking Midfield | Center Attacking Midfield | none | none  
9 | **Shot** | 27:08 | Cole Palmer | shoots to goal | Center Attacking Midfield | Center Attacking Midfield | none | **goal successful**  
10 | Block | 27:08 | Martín Zubimendi Ibáñez | blocks shot | Right Defensive Midfield | Right Defensive Midfield | Cole Palmer | none  
